location,continent,Days,total_cases,total_cases_per_million,people_vaccinated,Total vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,Vaccinations performed as a percentage of population per day,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Iceland,Europe,66,"6,070","17,788","33,289","36,830",13.5,3.74,53.7,"341,250",0.1635%,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,5713534.307
India,Asia,50,"11,308,846","8,195","21,435,841","21,133,744",1.9,0.34,100,"1,380,004,385",0.0306%,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,13576677.18
Indonesia,Asia,52,"1,403,722","5,132","3,696,059","3,810,740",1.82,0.47,80.09,"273,523,621",0.0268%,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,14961838.9
Iran,Asia,9,"1,723,470","20,519","10,000","13,385",0.01,,80.09,"83,992,953",0.0018%,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,11657902.49
Ireland,Europe,64,"225,179","45,603","382,528","470,459",10.87,3.12,90.74,"4,937,796",0.1489%,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,6633133.57
Isle of Man,Europe,45,,,"19,138","24,892",33.44,10.93,,"85,032",0.6505%,147.872,,,,,,,,,,,,81.4,,6818789.129
Israel,Asia,78,"814,250","94,073","5,110,698","8,645,523",106.05,47,94.44,"8,655,541",1.2806%,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,10860045.94
Italy,Europe,70,"3,149,017","52,083","4,357,997","5,319,432",10.29,3.08,93.52,"60,461,828",0.1257%,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,8619068.151
Japan,Asia,17,"443,714","3,508","180,741","51,539",0.14,0,50.93,"126,476,458",0.0024%,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,10150447.67
Jersey,Europe,36,,,"36,049","33,186",39.01,3.34,,"101,073",0.9120%,,,,,,,,,,,,,,,7217468.954
Jordan,Asia,44,"457,151","44,805","50,000","106,617",1.47,0.29,100,"10,203,140",0.0237%,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,10981054.44
Kazakhstan,Asia,24,"271,363","14,452","20,157","24,201",0.12,0.01,92.13,"18,776,707",0.0054%,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,10395995.71
Kuwait,Asia,50,"205,893","48,212","322,000","157,370",8.43,0.89,100,"4,270,563",0.0737%,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,11694329.97
