location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
"Marshall Islands",Oceania,4,67.574,,,,,59194,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,9803506.905
Mauritania,Africa,17394,3740.919,,,,77.78,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,8172575.897
Micronesia,Oceania,1,8.694,,,,,115021,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,11554661.57
Moldova,Europe,200124,49609.776,8116,0.2,,87.04,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,9103055.903
Mozambique,Africa,63645,2036.286,,,,80.56,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,14869788.54
Namibia,Africa,40631,15990.69,,,,73.15,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,13614283.34
Nicaragua,"North America",6537,986.783,,,,24.07,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,2889442.094
Niger,Africa,4853,200.482,,,,61.11,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,10000294.44
Nigeria,Africa,159933,775.848,,,,85.65,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,10649162.65
"North America",,33707587,56931.548,,,,,592072204,,,,,,,,,,,,,,,NULL
"North Macedonia",Europe,110209,52899.135,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,9206206.422
Oceania,,33433,783.381,,,,,42677809,,,,,,,,,,,,,,,NULL
Palestine,Asia,203669,39924.013,,,,96.3,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,10802202.94
"Papua New Guinea",Oceania,1819,203.308,,,,83.8,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,13101167.29
"Saint Kitts and Nevis","North America",42,789.592,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,3893996.59
"Saint Lucia","North America",3966,21597.896,2094,1.14,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,4294450.081
"Saint Vincent and the Grenadines","North America",1674,15088.285,,,,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,4341567.171
Samoa,Oceania,3,15.12,,,,,198410,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,9759484.062
"Sao Tome and Principe",Africa,2035,9285.411,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,11085057.42
"Sierra Leone",Africa,3932,492.918,,,,88.89,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8905472.134
"Solomon Islands",Oceania,18,26.206,,,,43.52,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,11902339.56
Somalia,Africa,8820,554.954,,,,60.19,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,13880455.39
"South America",,18968131,44034.128,,,,,430759772,,,,,,,,,,,,,,,NULL
"South Sudan",Africa,9205,822.335,,,,86.11,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,12653000
Sudan,Africa,30686,699.806,,,,91.67,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,12096796.29
Suriname,"South America",8997,15336.649,,,,100,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,5468782.441
Syria,Asia,16257,928.937,,,,87.04,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,10752135.66
Taiwan,Asia,978,41.063,,,,31.48,23816775,,42.2,,8.353,,,103.957,,,,,,80.46,,12241170.47
Tajikistan,Asia,13308,1395.313,,,,65.74,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,11465187.29
Tanzania,Africa,509,8.521,,,,50,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,13971605.59
Timor,Asia,159,120.597,,,,77.78,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,14805101.59
Togo,Africa,7857,949.058,,,,73.15,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,10003801.74
Tunisia,Africa,239977,20304.997,,,,90.74,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,8970463.244
Uganda,Africa,40535,886.185,,,,93.52,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,13172154.97
Uzbekistan,Asia,80392,2401.97,,,,96.3,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,11062822.32
Vanuatu,Oceania,3,9.767,,,,30.56,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,11670203.39
Vatican,Europe,27,33374.536,,,,,809,,,,,,,,,,,,,75.12,,8609570.089
Vietnam,Asia,2533,26.023,,,,96.3,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,13797931.32
World,,118571474,15211.615,202508023,4.3,0.96,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,NULL
Yemen,Asia,2667,89.419,,,,58.33,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,13065898.74
Zambia,Africa,83913,4564.469,,,,70.83,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,13844450.23
