location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Macao,Asia,,,,0.31,,23.15,649342,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,12744458
Malaysia,Asia,319364,9867.269,223923,0.69,,80.09,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,15070494.47
Maldives,Asia,21268,39345.694,,34.58,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,15390723.7
Malta,Europe,25640,58069.616,72725,24.68,8.21,87.04,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,9163380.841
Mauritius,Africa,664,522.108,3843,0.3,,82.41,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,16830576.67
Mexico,"North America",2150955,16682.766,2882000,2.95,0.47,82.41,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,1632411.333
Monaco,Europe,2075,52874.325,,6.12,,87.96,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,,8158434.137
Mongolia,Asia,3664,1117.655,,0.15,,90.74,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,10478635.12
Montenegro,Europe,82029,130606.532,3062,0.49,,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,8980436.402
Montserrat,"North America",,,652,13.04,,,4999,,,,,,,,,,,,,74.16,,3986712.653
Morocco,Africa,487750,13214.376,4130606,13.82,2.63,93.52,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,7837652.074
Myanmar,Asia,142114,2611.919,103142,0.19,,86.11,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,13341043.25
Nepal,Asia,275070,9440.636,,1.38,,96.3,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,12733462.13
Netherlands,Europe,1154257,67363.032,1207904,9.45,2.4,82.41,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,7506098.102
"New Zealand",Oceania,2417,501.22,18000,0.37,,96.3,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,12550022.43
"Northern Cyprus",,,,,2.88,,,,,,,,,,,,,,,,,,NULL
